age,region,activity,heart_rate,steps,calories,step_range,calories_range,sleep_hours,weight_kg,fitness_level
28,South,Gym,97,9594,403,8k-11k,400-550,6.43,62.4,moderately_fit
23,North,Walking,77,8921,271,8k-11k,250-400,7.13,78.2,moderately_fit
35,West,Sports,88,12093,511,11k-14k,400-550,8.94,62.6,moderately_fit
23,East,Sports,104,15503,697,>14k,550-700,7.06,69.4,fit
46,North,Running,105,12877,700,11k-14k,550-700,7.73,66.5,fit
29,West,Sports,92,11969,558,11k-14k,550-700,6.07,55.8,moderately_fit
18,South,Cycling,90,9381,410,8k-11k,400-550,6.84,73.6,moderately_fit
36,East,Running,102,16843,775,>14k,>700,6.5,73.0,fit
21,East,Gym,75,7448,352,5k-8k,250-400,7.22,73.8,moderately_fit
24,North,Running,91,15112,691,>14k,550-700,6.24,57.0,fit
30,West,Running,109,16202,839,>14k,>700,8.46,96.4,fit
24,North,Sports,88,16953,867,>14k,>700,6.51,67.8,fit
27,North,Running,104,14779,695,>14k,550-700,7.06,81.4,fit
54,West,Cycling,97,12598,716,11k-14k,>700,6.46,76.7,fit
29,East,Cycling,79,11188,447,11k-14k,400-550,5.93,71.9,moderately_fit
29,North,Gym,62,7865,362,5k-8k,250-400,5.37,63.1,moderately_fit
44,North,Walking,59,12146,464,11k-14k,400-550,4.13,96.3,moderately_fit
20,East,Running,95,11145,532,11k-14k,400-550,7.17,93.8,moderately_fit
43,North,Gym,75,15636,696,>14k,550-700,8.0,69.9,fit
36,West,Cycling,97,14630,759,>14k,>700,6.7,76.2,fit
37,East,Gym,80,7296,398,5k-8k,250-400,5.71,73.8,moderately_fit
25,North,Gym,75,11157,548,11k-14k,400-550,6.19,83.9,moderately_fit
47,South,Gym,86,4572,155,<5k,<250,6.7,93.8,unfit
36,South,Gym,94,10282,548,8k-11k,400-550,6.26,60.2,moderately_fit
66,South,Walking,69,6084,259,5k-8k,250-400,7.44,58.2,unfit
59,East,Sports,99,11612,656,11k-14k,550-700,8.49,73.8,moderately_fit
30,West,Gym,80,8190,350,8k-11k,250-400,6.73,62.8,moderately_fit
34,South,Sports,92,12010,559,11k-14k,550-700,5.58,69.7,moderately_fit
24,South,Sports,99,13670,711,11k-14k,>700,6.18,77.1,fit
27,North,Sports,105,10998,503,8k-11k,400-550,7.06,83.0,moderately_fit
26,East,Running,120,18418,929,>14k,>700,5.93,71.3,fit
40,East,Cycling,84,10565,488,8k-11k,400-550,7.19,83.1,moderately_fit
26,East,Gym,76,10327,365,8k-11k,250-400,7.4,68.5,moderately_fit
75,North,Walking,81,3294,144,<5k,<250,6.29,94.4,unfit
24,West,Cycling,76,7391,362,5k-8k,250-400,7.18,58.6,moderately_fit
21,North,Walking,73,5147,199,5k-8k,<250,5.54,71.9,unfit
31,East,Sports,101,13364,663,11k-14k,550-700,6.45,53.9,fit
61,East,Running,101,8329,331,8k-11k,250-400,7.24,81.6,moderately_fit
29,East,Running,111,16086,819,>14k,>700,6.76,75.1,fit
26,South,Gym,90,13603,662,11k-14k,550-700,7.01,56.5,fit
26,South,Cycling,45,13287,535,11k-14k,400-550,6.08,72.8,moderately_fit
47,North,Running,107,13378,528,11k-14k,400-550,5.8,80.2,moderately_fit
18,East,Cycling,77,13639,570,11k-14k,550-700,6.95,80.7,moderately_fit
26,North,Running,100,17512,850,>14k,>700,8.44,85.3,fit
55,South,Walking,66,6650,251,5k-8k,250-400,4.9,77.8,unfit
48,North,Gym,78,9659,417,8k-11k,400-550,8.38,79.7,moderately_fit
30,East,Gym,45,7786,438,5k-8k,400-550,8.46,58.9,moderately_fit
21,South,Walking,73,5887,162,5k-8k,<250,4.6,71.7,unfit
32,East,Walking,70,6241,202,5k-8k,<250,7.76,76.5,unfit
30,East,Gym,76,8384,420,8k-11k,400-550,5.61,68.5,moderately_fit
56,East,Cycling,120,8042,315,8k-11k,250-400,7.64,78.4,moderately_fit
24,North,Running,94,17839,877,>14k,>700,8.86,75.4,fit
33,East,Gym,90,2210,100,<5k,<250,7.38,61.1,unfit
60,South,Gym,87,6665,340,5k-8k,250-400,7.53,84.3,unfit
24,North,Running,100,16629,792,>14k,>700,8.11,74.2,fit
51,North,Gym,93,9566,425,8k-11k,400-550,10.09,73.2,moderately_fit
29,North,Running,100,11443,516,11k-14k,400-550,6.7,81.2,moderately_fit
66,North,Walking,75,8917,322,8k-11k,250-400,7.74,76.0,moderately_fit
40,South,Gym,107,5073,216,5k-8k,<250,5.73,93.6,unfit
31,North,Gym,75,8258,363,8k-11k,250-400,5.79,79.4,moderately_fit
29,South,Gym,90,8492,339,8k-11k,250-400,7.36,71.9,moderately_fit
22,North,Running,99,13640,880,11k-14k,>700,8.26,78.2,fit
48,North,Sports,89,13799,615,11k-14k,550-700,7.81,85.0,fit
51,West,Walking,80,6271,231,5k-8k,<250,6.1,67.3,unfit
36,South,Cycling,80,11359,549,11k-14k,400-550,6.82,71.9,moderately_fit
18,North,Cycling,86,14198,611,>14k,550-700,6.35,64.6,fit
22,South,Gym,81,8134,269,8k-11k,250-400,7.31,93.1,moderately_fit
53,North,Sports,102,9579,489,8k-11k,400-550,7.72,61.0,moderately_fit
24,North,Gym,80,13790,584,11k-14k,550-700,8.12,77.9,moderately_fit
51,North,Sports,101,11085,456,11k-14k,400-550,5.78,70.3,moderately_fit
53,West,Walking,76,3943,130,<5k,<250,10.16,68.9,unfit
54,East,Walking,71,4367,168,<5k,<250,5.37,81.1,unfit
56,East,Gym,103,9696,375,8k-11k,250-400,6.02,78.9,moderately_fit
22,West,Sports,91,9829,682,8k-11k,550-700,7.04,78.6,moderately_fit
21,West,Gym,45,8617,392,8k-11k,250-400,7.0,73.2,moderately_fit
31,East,Cycling,78,11468,561,11k-14k,550-700,7.82,64.8,moderately_fit
20,East,Cycling,88,11874,461,11k-14k,400-550,7.84,80.8,moderately_fit
53,North,Walking,80,9099,342,8k-11k,250-400,7.15,77.5,moderately_fit
50,North,Gym,93,1740,100,<5k,<250,8.5,67.7,unfit
54,South,Gym,83,8804,264,8k-11k,250-400,7.99,68.9,moderately_fit
29,South,Gym,80,8560,362,8k-11k,250-400,5.71,68.5,moderately_fit
30,West,Cycling,81,14332,626,>14k,550-700,6.82,88.3,fit
53,South,Sports,89,9377,540,8k-11k,400-550,6.6,51.0,moderately_fit
50,East,Cycling,87,8923,408,8k-11k,400-550,7.01,83.0,moderately_fit
67,South,Sports,89,8743,491,8k-11k,400-550,8.47,85.6,moderately_fit
57,North,Walking,50,4597,209,<5k,<250,7.27,86.0,unfit
65,South,Walking,82,4311,113,<5k,<250,6.39,78.8,unfit
51,South,Cycling,81,8987,369,8k-11k,250-400,8.39,73.3,moderately_fit
40,South,Sports,92,15205,808,>14k,>700,8.2,88.5,fit
46,South,Gym,79,6904,298,5k-8k,250-400,5.63,62.2,unfit
19,North,Gym,79,8214,365,8k-11k,250-400,6.07,59.2,moderately_fit
24,South,Cycling,87,10519,520,8k-11k,400-550,7.61,51.1,moderately_fit
50,South,Walking,70,6300,227,5k-8k,<250,6.36,72.1,unfit
53,South,Walking,82,9718,332,8k-11k,250-400,7.27,101.8,moderately_fit
34,South,Cycling,74,8810,471,8k-11k,400-550,6.79,63.2,moderately_fit
33,North,Sports,97,17947,818,>14k,>700,8.02,77.4,fit
56,North,Cycling,86,10090,607,8k-11k,550-700,7.19,72.6,moderately_fit
25,North,Cycling,74,8939,506,8k-11k,400-550,7.8,69.1,moderately_fit
57,South,Walking,71,4825,168,<5k,<250,6.89,68.6,unfit
31,South,Cycling,102,6118,310,5k-8k,250-400,6.92,67.5,unfit
50,West,Walking,67,6506,267,5k-8k,250-400,8.21,67.7,unfit
22,North,Sports,45,15282,624,>14k,550-700,6.93,87.1,fit
24,North,Running,94,14493,592,>14k,550-700,9.53,68.5,moderately_fit
48,South,Cycling,89,11607,375,11k-14k,250-400,5.38,61.4,moderately_fit
53,South,Cycling,93,10271,446,8k-11k,400-550,6.12,90.3,moderately_fit
32,South,Walking,110,9673,410,8k-11k,400-550,6.74,56.4,moderately_fit
47,East,Sports,83,8037,366,8k-11k,250-400,5.66,83.1,moderately_fit
64,East,Walking,73,7312,257,5k-8k,250-400,5.97,78.6,moderately_fit
52,North,Walking,63,9960,350,8k-11k,250-400,7.34,89.3,moderately_fit
26,West,Gym,87,15879,750,>14k,>700,6.82,61.8,fit
55,North,Cycling,82,12590,749,11k-14k,>700,7.94,88.7,fit
24,East,Cycling,74,11948,641,11k-14k,550-700,8.62,76.4,moderately_fit
52,East,Walking,70,4256,155,<5k,<250,7.0,79.0,unfit
32,East,Walking,59,5620,193,5k-8k,<250,5.48,74.9,unfit
59,North,Sports,86,9013,504,8k-11k,400-550,7.07,69.1,moderately_fit
59,North,Walking,85,9533,363,8k-11k,250-400,6.45,109.8,moderately_fit
49,South,Cycling,91,8194,438,8k-11k,400-550,7.34,76.9,moderately_fit
65,North,Gym,106,7315,325,5k-8k,250-400,6.58,77.6,moderately_fit
53,North,Cycling,83,11551,533,11k-14k,400-550,7.3,73.4,moderately_fit
30,South,Running,109,3943,236,<5k,<250,8.19,75.7,unfit
35,South,Running,104,10109,533,8k-11k,400-550,4.78,77.2,moderately_fit
49,East,Sports,103,15196,682,>14k,550-700,7.81,82.7,fit
56,North,Walking,87,8059,232,8k-11k,<250,5.82,75.3,moderately_fit
25,East,Gym,83,12157,449,11k-14k,400-550,5.12,78.1,moderately_fit
64,North,Walking,79,3667,136,<5k,<250,4.83,89.0,unfit
25,West,Sports,89,16022,763,>14k,>700,7.61,89.3,fit
56,South,Cycling,50,6917,399,5k-8k,250-400,6.92,80.6,moderately_fit
29,South,Walking,70,7596,197,5k-8k,<250,8.02,81.9,moderately_fit
42,West,Cycling,70,11816,541,11k-14k,400-550,8.61,65.0,moderately_fit
34,North,Running,113,15898,820,>14k,>700,6.11,70.6,fit
58,North,Sports,86,10767,575,8k-11k,550-700,7.12,65.0,moderately_fit
39,South,Gym,78,8097,390,8k-11k,250-400,8.4,62.3,moderately_fit
18,North,Cycling,81,7381,344,5k-8k,250-400,6.35,70.8,moderately_fit
25,South,Running,116,14547,702,>14k,>700,9.06,77.5,fit
36,North,Walking,71,2703,100,<5k,<250,6.39,78.9,unfit
29,West,Cycling,94,12538,528,11k-14k,400-550,7.56,65.3,moderately_fit
28,South,Gym,64,6886,274,5k-8k,250-400,7.07,80.0,unfit
56,North,Running,99,10721,559,8k-11k,550-700,7.5,66.5,moderately_fit
26,East,Cycling,89,10081,529,8k-11k,400-550,8.02,65.4,moderately_fit
24,North,Running,100,16098,1020,>14k,>700,6.45,70.4,fit
20,North,Gym,99,7891,393,5k-8k,250-400,7.16,62.2,moderately_fit
22,South,Sports,96,13293,642,11k-14k,550-700,7.34,63.6,fit
55,East,Walking,78,6395,225,5k-8k,<250,6.79,80.5,unfit
51,South,Gym,76,7964,405,5k-8k,400-550,8.16,72.6,moderately_fit
27,South,Cycling,93,12261,463,11k-14k,400-550,7.21,70.4,moderately_fit
27,North,Sports,103,9213,426,8k-11k,400-550,7.66,87.9,moderately_fit
22,West,Running,99,11102,572,11k-14k,550-700,8.96,78.6,moderately_fit
45,East,Gym,83,11783,442,11k-14k,400-550,7.78,75.5,moderately_fit
46,North,Cycling,103,5910,336,5k-8k,250-400,7.27,69.7,unfit
65,East,Walking,83,9826,362,8k-11k,250-400,6.08,90.0,moderately_fit
59,South,Walking,69,5537,202,5k-8k,<250,7.8,68.0,unfit
31,North,Sports,106,9747,501,8k-11k,400-550,6.01,68.9,moderately_fit
25,North,Running,105,16883,659,>14k,550-700,7.8,71.5,fit
55,North,Walking,76,4902,182,<5k,<250,6.69,76.5,unfit
45,East,Running,112,13314,678,11k-14k,550-700,7.71,58.0,fit
47,South,Gym,88,11174,436,11k-14k,400-550,7.92,77.7,moderately_fit
40,North,Walking,69,8253,323,8k-11k,250-400,5.99,84.2,moderately_fit
34,North,Gym,87,9999,435,8k-11k,400-550,6.21,76.5,moderately_fit
24,South,Cycling,80,13156,667,11k-14k,550-700,5.88,80.7,fit
28,South,Cycling,96,11300,471,11k-14k,400-550,7.25,71.2,moderately_fit
33,East,Cycling,86,12827,677,11k-14k,550-700,8.22,81.4,fit
37,West,Gym,71,6051,257,5k-8k,250-400,6.25,60.4,unfit
25,South,Cycling,83,15087,764,>14k,>700,5.55,87.4,fit
57,South,Gym,92,7009,227,5k-8k,<250,6.21,92.4,moderately_fit
59,South,Gym,81,7709,391,5k-8k,250-400,7.49,85.6,moderately_fit
56,East,Cycling,90,8176,406,8k-11k,400-550,7.19,82.9,moderately_fit
19,North,Running,82,16718,798,>14k,>700,7.86,49.7,fit
30,North,Cycling,83,13675,771,11k-14k,>700,7.97,62.0,fit
48,East,Sports,80,7919,390,5k-8k,250-400,8.21,79.5,moderately_fit
45,North,Running,100,12092,640,11k-14k,550-700,6.52,67.8,fit
26,North,Running,107,14709,919,>14k,>700,9.06,79.7,fit
58,East,Gym,83,8424,277,8k-11k,250-400,7.01,76.2,moderately_fit
32,North,Gym,77,8337,374,8k-11k,250-400,7.62,66.8,moderately_fit
19,North,Cycling,101,10840,513,8k-11k,400-550,7.25,71.3,moderately_fit
33,South,Cycling,72,13015,515,11k-14k,400-550,7.81,55.5,moderately_fit
33,South,Gym,74,10271,460,8k-11k,400-550,6.49,56.7,moderately_fit
22,North,Walking,62,8217,355,8k-11k,250-400,5.85,66.8,moderately_fit
25,West,Sports,94,15516,792,>14k,>700,7.52,67.5,fit
29,North,Running,110,9886,383,8k-11k,250-400,8.27,69.4,moderately_fit
29,East,Gym,79,11262,582,11k-14k,550-700,8.32,69.6,moderately_fit
58,North,Walking,71,6613,187,5k-8k,<250,6.12,49.4,unfit
29,South,Running,103,9535,470,8k-11k,400-550,8.19,74.8,moderately_fit
31,North,Gym,72,12049,386,11k-14k,250-400,7.34,85.2,moderately_fit
28,North,Walking,76,8646,287,8k-11k,250-400,6.56,63.4,moderately_fit
26,North,Cycling,90,13168,593,11k-14k,550-700,7.4,73.5,moderately_fit
24,South,Cycling,95,10760,433,8k-11k,400-550,7.17,82.6,moderately_fit
34,South,Gym,80,10839,493,8k-11k,400-550,7.48,67.4,moderately_fit
30,North,Walking,130,5898,229,5k-8k,<250,4.8,54.2,unfit
29,West,Running,109,9863,545,8k-11k,400-550,5.78,84.5,moderately_fit
24,North,Gym,77,9567,403,8k-11k,400-550,6.3,61.4,moderately_fit
31,South,Gym,84,10820,512,8k-11k,400-550,7.78,70.8,moderately_fit
35,North,Gym,85,11403,525,11k-14k,400-550,7.41,62.9,moderately_fit
25,South,Gym,85,9910,357,8k-11k,250-400,7.13,61.5,moderately_fit
57,East,Walking,65,6067,194,5k-8k,<250,7.78,69.5,unfit
27,South,Sports,80,14755,609,>14k,550-700,6.75,76.8,fit
28,North,Gym,89,8498,352,8k-11k,250-400,7.43,80.0,moderately_fit
35,North,Gym,92,7461,359,5k-8k,250-400,6.64,83.3,moderately_fit
64,East,Walking,67,8783,276,8k-11k,250-400,6.2,83.5,moderately_fit
25,North,Running,95,13466,532,11k-14k,400-550,8.84,62.1,moderately_fit
55,South,Cycling,77,11331,545,11k-14k,400-550,6.99,70.3,moderately_fit
24,North,Running,103,18478,949,>14k,>700,7.54,68.1,fit
71,North,Cycling,87,8285,414,8k-11k,400-550,7.18,93.0,moderately_fit
62,North,Walking,65,6181,255,5k-8k,250-400,6.46,84.0,unfit
26,West,Cycling,72,15854,905,>14k,>700,7.7,72.2,fit
24,East,Gym,75,6330,294,5k-8k,250-400,5.94,76.5,unfit
23,South,Walking,69,5083,222,5k-8k,<250,5.41,57.7,unfit
26,North,Gym,69,11505,535,11k-14k,400-550,6.92,95.6,moderately_fit
55,South,Walking,130,5209,205,5k-8k,<250,6.28,69.3,unfit
40,South,Running,105,15384,917,>14k,>700,8.0,70.1,fit
58,South,Gym,91,7192,327,5k-8k,250-400,7.98,67.7,moderately_fit
29,North,Cycling,78,13201,479,11k-14k,400-550,6.12,59.8,moderately_fit
64,West,Walking,70,3783,135,<5k,<250,5.45,73.2,unfit
22,South,Running,98,16439,785,>14k,>700,6.98,74.6,fit
30,West,Gym,79,7947,301,5k-8k,250-400,6.57,73.6,moderately_fit
58,North,Gym,84,9133,360,8k-11k,250-400,7.08,66.4,moderately_fit
28,North,Walking,77,12195,415,11k-14k,400-550,7.45,56.5,moderately_fit
32,North,Walking,77,5644,167,5k-8k,<250,6.83,56.7,unfit
59,East,Gym,90,6381,257,5k-8k,250-400,7.67,88.2,unfit
21,North,Cycling,100,11440,518,11k-14k,400-550,6.75,83.6,moderately_fit
38,East,Cycling,88,11206,424,11k-14k,400-550,6.45,75.0,moderately_fit
21,East,Walking,68,3257,139,<5k,<250,5.86,72.6,unfit
28,East,Gym,72,9416,332,8k-11k,250-400,6.69,60.3,moderately_fit
57,East,Walking,68,5483,233,5k-8k,<250,6.66,81.7,unfit
33,East,Running,106,12865,643,11k-14k,550-700,7.25,68.8,fit
46,East,Running,104,13083,702,11k-14k,>700,6.74,45.0,fit
26,South,Gym,68,10351,369,8k-11k,250-400,7.0,58.1,moderately_fit
51,East,Walking,74,6917,225,5k-8k,<250,5.97,90.6,unfit
33,West,Running,98,10268,484,8k-11k,400-550,6.09,82.8,moderately_fit
60,North,Walking,77,5259,175,5k-8k,<250,7.17,77.3,unfit
20,West,Gym,101,9135,400,8k-11k,250-400,6.94,73.2,moderately_fit
36,North,Running,110,14781,618,>14k,550-700,7.37,68.8,fit
59,North,Walking,76,3881,155,<5k,<250,6.75,74.1,unfit
56,North,Cycling,72,9443,581,8k-11k,550-700,7.04,75.6,moderately_fit
28,North,Cycling,99,15222,779,>14k,>700,7.5,60.6,fit
18,East,Gym,69,3347,141,<5k,<250,8.95,75.7,unfit
34,West,Gym,97,8508,443,8k-11k,400-550,8.14,83.4,moderately_fit
29,East,Gym,85,4304,149,<5k,<250,6.28,77.8,unfit
46,West,Running,110,12200,556,11k-14k,550-700,5.54,84.5,moderately_fit
33,North,Sports,94,13788,639,11k-14k,550-700,8.18,72.9,fit
51,North,Walking,73,5218,202,5k-8k,<250,6.98,63.1,unfit
54,South,Cycling,86,11435,564,11k-14k,550-700,7.73,78.4,moderately_fit
48,East,Running,120,16082,1093,>14k,>700,6.73,86.0,fit
26,North,Cycling,100,12364,622,11k-14k,550-700,6.59,83.4,fit
18,West,Cycling,88,10712,532,8k-11k,400-550,7.36,78.6,moderately_fit
31,South,Cycling,89,12300,612,11k-14k,550-700,7.55,75.8,fit
28,West,Running,102,19042,1086,>14k,>700,9.35,90.7,fit
24,South,Cycling,76,8192,388,8k-11k,250-400,8.02,73.8,moderately_fit
27,South,Gym,96,12170,711,11k-14k,>700,7.25,58.7,fit
42,East,Sports,92,7697,376,5k-8k,250-400,4.43,69.5,moderately_fit
54,East,Gym,97,3806,169,<5k,<250,7.25,78.4,unfit
66,North,Gym,89,3716,168,<5k,<250,7.15,59.2,unfit
48,West,Sports,120,10301,537,8k-11k,400-550,6.08,72.8,moderately_fit
29,West,Cycling,69,14277,688,>14k,550-700,7.82,83.2,fit
36,North,Cycling,78,5532,209,5k-8k,<250,8.51,86.8,unfit
23,North,Gym,73,12140,552,11k-14k,550-700,8.94,73.5,moderately_fit
25,South,Sports,91,12010,701,11k-14k,>700,7.33,69.3,fit
29,South,Cycling,84,8362,479,8k-11k,400-550,6.66,78.1,moderately_fit
55,East,Gym,83,9012,352,8k-11k,250-400,8.23,80.6,moderately_fit
50,North,Sports,85,9039,473,8k-11k,400-550,6.43,64.0,moderately_fit
52,East,Walking,45,10704,370,8k-11k,250-400,6.68,74.1,moderately_fit
58,South,Walking,68,6863,236,5k-8k,<250,5.33,82.3,unfit
27,North,Running,116,14267,830,>14k,>700,8.43,45.0,fit
21,South,Gym,63,11420,434,11k-14k,400-550,6.41,69.1,moderately_fit
56,North,Running,90,15230,823,>14k,>700,8.19,76.8,fit
51,North,Walking,83,9121,334,8k-11k,250-400,6.57,84.4,moderately_fit
54,South,Walking,56,7936,266,5k-8k,250-400,7.08,66.0,moderately_fit
28,West,Running,98,18130,912,>14k,>700,7.01,73.1,fit
22,North,Running,112,18209,1093,>14k,>700,7.63,50.4,fit
26,South,Gym,68,11739,441,11k-14k,400-550,7.95,66.2,moderately_fit
44,North,Walking,62,5824,181,5k-8k,<250,6.02,75.7,unfit
27,North,Running,106,17871,878,>14k,>700,7.68,56.5,fit
27,South,Cycling,99,10208,530,8k-11k,400-550,8.45,65.5,moderately_fit
51,East,Cycling,78,10018,536,8k-11k,400-550,6.33,81.9,moderately_fit
56,North,Walking,71,5221,181,5k-8k,<250,5.84,85.0,unfit
21,West,Running,107,16721,718,>14k,>700,6.59,77.3,fit
26,North,Gym,83,12665,388,11k-14k,250-400,6.78,56.5,moderately_fit
31,West,Gym,80,8116,375,8k-11k,250-400,5.55,61.0,moderately_fit
53,West,Sports,93,6437,397,5k-8k,250-400,7.3,75.8,moderately_fit
44,South,Gym,77,10793,462,8k-11k,400-550,8.76,70.6,moderately_fit
61,North,Walking,64,7777,234,5k-8k,<250,6.63,76.5,moderately_fit
28,South,Gym,85,13244,578,11k-14k,550-700,9.09,64.4,moderately_fit
26,South,Sports,91,14541,611,>14k,550-700,5.66,89.4,fit
45,West,Running,91,15050,834,>14k,>700,6.11,64.1,fit
58,South,Gym,98,5539,260,5k-8k,250-400,5.32,85.8,unfit
54,South,Gym,66,9442,442,8k-11k,400-550,4.41,90.0,moderately_fit
50,East,Walking,84,10586,471,8k-11k,400-550,6.6,67.4,moderately_fit
29,West,Cycling,74,9737,557,8k-11k,550-700,6.07,86.5,moderately_fit
45,East,Walking,67,4124,132,<5k,<250,4.32,93.2,unfit
24,West,Running,112,14821,661,>14k,550-700,6.96,67.6,fit
47,South,Running,103,14912,735,>14k,>700,7.33,80.4,fit
34,East,Gym,78,9474,516,8k-11k,400-550,7.33,65.6,moderately_fit
66,East,Walking,73,9007,316,8k-11k,250-400,6.34,93.6,moderately_fit
26,East,Running,93,11618,586,11k-14k,550-700,7.87,53.4,moderately_fit
63,North,Walking,70,2568,108,<5k,<250,5.56,69.3,unfit
59,South,Walking,75,8671,305,8k-11k,250-400,5.49,86.7,moderately_fit
36,South,Walking,67,4224,156,<5k,<250,7.75,80.4,unfit
57,North,Cycling,84,9672,303,8k-11k,250-400,8.85,79.1,moderately_fit
58,North,Cycling,95,12304,648,11k-14k,550-700,5.86,87.3,fit
32,East,Cycling,86,11420,635,11k-14k,550-700,7.43,53.5,moderately_fit
54,South,Gym,93,5855,238,5k-8k,<250,6.1,85.9,unfit
31,North,Running,100,17516,989,>14k,>700,6.29,75.4,fit
48,East,Gym,71,8426,362,8k-11k,250-400,7.23,83.5,moderately_fit
39,West,Gym,79,8047,385,8k-11k,250-400,7.27,70.4,moderately_fit
25,South,Cycling,82,15548,507,>14k,400-550,6.76,83.4,moderately_fit
26,North,Cycling,100,10419,525,8k-11k,400-550,6.83,81.2,moderately_fit
48,West,Cycling,100,8101,309,8k-11k,250-400,6.09,74.1,moderately_fit
28,West,Running,97,11291,560,11k-14k,550-700,8.42,66.3,moderately_fit
30,North,Sports,79,15000,642,>14k,550-700,7.12,74.0,fit
53,North,Sports,85,11035,590,11k-14k,550-700,6.27,67.0,moderately_fit
32,South,Gym,74,7847,317,5k-8k,250-400,6.95,69.7,moderately_fit
29,East,Gym,85,5669,312,5k-8k,250-400,6.68,83.8,unfit
29,North,Running,98,18126,871,>14k,>700,6.51,64.9,fit
44,South,Gym,87,7084,307,5k-8k,250-400,6.12,65.0,moderately_fit
29,South,Cycling,94,6572,347,5k-8k,250-400,6.21,87.0,unfit
30,West,Gym,92,9418,442,8k-11k,400-550,5.89,76.5,moderately_fit
24,South,Running,100,17498,958,>14k,>700,7.35,74.8,fit
29,South,Running,93,16060,981,>14k,>700,6.96,73.7,fit
21,West,Running,107,14943,822,>14k,>700,9.34,62.4,fit
23,North,Gym,92,8562,343,8k-11k,250-400,7.65,86.6,moderately_fit
50,North,Sports,93,8825,395,8k-11k,250-400,7.47,73.3,moderately_fit
27,East,Gym,82,12589,485,11k-14k,400-550,6.69,51.0,moderately_fit
72,North,Cycling,110,2797,140,<5k,<250,6.88,76.2,unfit
25,East,Cycling,76,9067,306,8k-11k,250-400,5.74,86.0,moderately_fit
30,North,Gym,89,8960,403,8k-11k,400-550,5.81,71.2,moderately_fit
32,North,Sports,95,6800,357,5k-8k,250-400,6.11,86.0,moderately_fit
64,West,Gym,99,6388,290,5k-8k,250-400,5.39,80.9,unfit
26,South,Running,130,10519,541,8k-11k,400-550,7.22,66.0,moderately_fit
25,East,Running,103,15724,868,>14k,>700,5.68,64.5,fit
21,North,Running,95,12980,501,11k-14k,400-550,7.6,81.2,moderately_fit
26,North,Gym,69,8467,411,8k-11k,400-550,6.82,77.8,moderately_fit
69,East,Cycling,91,6312,259,5k-8k,250-400,8.78,67.9,unfit
58,South,Gym,103,9023,320,8k-11k,250-400,7.27,85.2,moderately_fit
52,South,Walking,87,6048,226,5k-8k,<250,5.37,74.2,unfit
36,North,Cycling,88,12925,699,11k-14k,550-700,5.84,71.3,fit
25,South,Cycling,85,14459,563,>14k,550-700,8.7,87.0,moderately_fit
22,East,Running,95,13738,534,11k-14k,400-550,6.41,90.9,moderately_fit
18,East,Gym,77,8257,409,8k-11k,400-550,6.33,62.5,moderately_fit
45,East,Gym,72,7152,267,5k-8k,250-400,6.61,53.9,moderately_fit
52,East,Walking,55,11510,401,11k-14k,400-550,6.45,78.5,moderately_fit
44,South,Running,114,10547,611,8k-11k,550-700,8.8,85.8,moderately_fit
60,South,Sports,97,8923,407,8k-11k,400-550,7.36,76.0,moderately_fit
